Name
BEIJER REF AB (PUBL)
CARLSBERG A/S
STORA ENSO OYJ
BANK POLSKA KASA OPIEKI SA
BANK ZACHODNI WBK SA
ENAGAS SA
HOCHTIEF AG
NOKIAN TYRES PLC
POWSZECHNA KASA OSZCZEDNOSCI BANK P
RATIONAL AG
SYMRISE AG
SUEDZUCKER AG
UNITED INTERNET AG
MILLICOM INTERNATIONAL CELLULAR SA
L E LUNDBERGFORETAGEN AB (PUBL)
BANCO DE SABADELL SA
INDUSTRIVARDEN AB
SWEDBANK AB
TELIA COMPANY AB
LANXESS AG
BANKINTER SA
ACS ACTIVIDADES DE CONSTRUCCION Y S
SAMPO OYJ
FORTUM OYJ
H & M HENNES & MAURITZ AB
SKANSKA AB
SKANDINAVISKA ENSKILDA BANKEN AB
SANDVIK AB
VOLVO AB
ELISA OYJ
SECURITAS AB
KONE OYJ
KOMERCNI BANKA AS
WARTSILA OYJ ABP
CAIXABANK SA
PORSCHE AUTOMOBIL HOLDING SE
DSV A/S
FUCHS PETROLUB SE
ORION OYJ
OTP BANK NYRT
HANNOVER RUECK SE
SVENSKA CELLULOSA SCA AB
ELECTROLUX AB
FIELMANN AG
GENMAB A/S
ERSTE GROUP BANK AG
ANDRITZ AG
VOESTALPINE AG
PGE POLSKA GRUPA ENERGETYCZNA SA
RTL GROUP SA
GEA GROUP AG
METRO AG
BRENNTAG AG
CHR HANSEN HOLDING A/S
POWSZECHNY ZAKLAD UBEZPIECZEN SA
ENDESA SA
INVESTOR AB
H LUNDBECK A/S
TRELLEBORG AB
VESTAS WIND SYSTEMS A/S
ALFA LAVAL AB
ORRON ENERGY AB
GAS NATURAL SDG SA
MAPFRE SA
VERBUND AG
WACKER CHEMIE AG
UPM-KYMMENE OYJ
DANSKE BANK A/S
AB SKF
ABB LTD
RAIFFEISEN BANK INTERNATIONAL AG
CEZ AS
FRAPORT AG FRANKFURT AIRPORT SERVIC
AP MOELLER - MAERSK A/S
KGHM POLSKA MIEDZ SA
WIRECARD AG
DEUTSCHE WOHNEN AG
FERROVIAL SA
AMADEUS IT GROUP SA
NOVOZYMES A/S
TALANX AG
TELEFONICA DEUTSCHLAND HOLDING AG
COLOPLAST A/S
KION GROUP AG
NOVO NORDISK A/S
CLARIANT AG
THE SWATCH GROUP AG
DUFRY AG
SWISSCOM AG
LAFARGEHOLCIM LTD
SWISS RE AG
NOVARTIS AG
EMS CHEMIE HOLDING AG
SWISS LIFE HOLDING AG
SGS SA
COMPAGNIE FINANCIERE RICHEMONT SA
STRAUMANN HOLDING AG
KUEHNE UND NAGEL INTERNATIONAL AG
SCHINDLER HOLDING AG
JULIUS BAER GRUPPE AG
BARRY CALLEBAUT AG
SWISS PRIME SITE AG
ROCHE HOLDING AG
ZURICH INSURANCE GROUP AG
CREDIT SUISSE GROUP AG
GIVAUDAN SA
SONOVA HOLDING AG
GEBERIT AG
BALOISE HOLDING LTD
NESTLE SA
ISS A/S
ZALANDO SE
UBS GROUP AG
AENA SME SA
TRYG A/S
SVENSKA HANDELSBANKEN AB
ASSA ABLOY AB
COVESTRO AG
SCHAEFFLER AG
GRIFOLS SA
FLUGHAFEN ZUERICH AG
ORSTED A/S
RED ELECTRICA CORPORACION SA
QIAGEN NV
METRO WHOLESALE & FOOD SPECIALIST A
BYD CO LTD
ATLAS COPCO AB
TRANE TECHNOLOGIES PLC
BOLIDEN AB
GEELY AUTOMOBILE HOLDINGS LTD
SIKA AG
TENCENT HOLDINGS LTD
AB INBEV
AKER CARBON CAPTUR
AEROPORTO G. M. BO
ADP
AEFFE
AF GRUPPEN
AKZO NOBEL
WALLIX
ALSTOM
AMG
AMPLIFON
EXACOMPTA CLAIREF.
ATOS
BENETEAU
BFF BANK
BIOMERIEUX
BANK OF IRELAND GP
SIEMENS
CAIRO COMMUNICAT
CREDEM
COLRUYT
DATALOGIC
VINCI
DIAGEO
D'AMICO
DE'LONGHI
DOVALUE
DOXEE
DASSAULT SYSTEMES
EDP RENOVAVEIS
ELIS
EXOR NV
EIFFAGE
FNM
BASICNET
GBL
GEFRAN
ASSICURAZ.GEN.ORD.
GECINA
GJENSIDIGE FORSIKR
GLANBIA PLC
GL EVENTS
HEINEKEN
HEINEKEN HOLDING
HAMMERSON PLC
HERA
IGD
INTERPUMP GROUP
IPSEN
IVS GROUP
"J.MARTINS,SGPS"
KBC
KINEPOLIS GROUP
KPN KON
ELIA GROUP
LEGRAND
LECTRA
MARR
MUNCHENER RUCKVERS
MOWI
CORTICEIRA AMORIM
NEWLAT FOOD
ORKLA
ORPEA
ORSERO
NYRSTAR
PROXIMUS
PROSIEBENSAT
FERRARI
COLAS
EURAZEO
SODEXO
RALLYE
HERMES INTL
RENEWI
SATS
SEGRO PLC
SMURFIT KAPPA GP
GREENYARD
SOLVAY
SONAE
JCDECAUX
MUTUIONLINE
TELENOR
TELEPERFORMANCE
TRIGANO
UNILEVER
UNIPOL
RELX
UNIBAIL-RODAMCO-WE
VEIDEKKE
VGP
VOPAK
WDP
WOLTERS KLUWER
PRECIA
YARA INTERNATIONAL
ZALARIS
