,Date,total_cap_adj,tot_rent_adj,net value adj
0,2018-04-20T00:00:00Z,805019242546.6866,0.0,1000.0
1,2018-04-23T00:00:00Z,806298786950.3542,0.0017436696553828368,1001.7436696553827
2,2018-04-24T00:00:00Z,801509038435.7947,-0.005689410251445551,996.0443389519247
3,2018-04-25T00:00:00Z,793318338699.3544,-0.009908913316397778,986.1746219379614
4,2018-04-26T00:00:00Z,800434997137.3986,0.009058823923643327,995.108204196063
5,2018-04-27T00:00:00Z,779437315423.9921,0.001897319962655462,996.9962428568864
6,2018-04-30T00:00:00Z,804253454214.9027,0.003192768024382736,1000.1794205815097
7,2018-05-02T00:00:00Z,809033770043.7571,0.005215530468649997,1005.3958868236693
8,2018-05-03T00:00:00Z,800777319570.8656,-0.003834588795731011,1001.5406070207812
9,2018-05-04T00:00:00Z,810081177263.058,0.0053040496222141135,1006.8528280990819
10,2018-05-07T00:00:00Z,639412726516.3047,0.009705813032665593,1016.6251534000221
11,2018-05-08T00:00:00Z,821485158735.3407,0.006058337520435809,1022.7842117110841
12,2018-05-09T00:00:00Z,822558160711.7034,0.002437651440455912,1025.2774031180372
13,2018-05-11T00:00:00Z,800779737245.8905,0.000830132376179487,1026.1285190849308
14,2018-05-14T00:00:00Z,825327415901.8593,0.0016222462482123406,1027.7931522252
15,2018-05-15T00:00:00Z,827494345694.933,0.002852283576543596,1030.724709753376
16,2018-05-16T00:00:00Z,825300663969.3224,0.0011485545840905602,1031.9085533436985
17,2018-05-17T00:00:00Z,821043439384.3475,0.0046413593850112645,1036.6980117922335
18,2018-05-18T00:00:00Z,845673519744.2936,-0.0022643224754584365,1034.3505931838693
19,2018-05-22T00:00:00Z,829684675701.87,0.0026855040795177964,1037.128345921516
20,2018-05-23T00:00:00Z,823363244574.5847,-0.007576103015964126,1029.2709547320383
21,2018-05-24T00:00:00Z,822549864559.6011,-0.0009648848558957684,1028.277826775204
22,2018-05-25T00:00:00Z,824970366677.863,0.0029162520271759284,1031.2765440720373
23,2018-05-28T00:00:00Z,625348385043.2478,0.0003872538748023466,1031.6759099097221
24,2018-05-29T00:00:00Z,816256112502.6505,-0.01099517392827451,1020.3324538426539
25,2018-05-30T00:00:00Z,812403682805.5647,-0.004745538992454525,1015.4904263976767
26,2018-05-31T00:00:00Z,782795835701.3645,-0.006056889527012501,1009.3397130692472
27,2018-06-01T00:00:00Z,816399041668.2208,0.011058977240839393,1020.5019779843553
28,2018-06-04T00:00:00Z,810766875469.3651,0.0035584411020257297,1024.1333741675135
29,2018-06-05T00:00:00Z,798881010662.0176,-0.0034766578355372056,1020.5728128475788
30,2018-06-06T00:00:00Z,775582328389.4707,-0.0003336370325198629,1020.2323119628298
31,2018-06-07T00:00:00Z,823446618962.608,0.00036105977233770074,1020.6006768091188
32,2018-06-08T00:00:00Z,822615278722.0692,-0.0008794991023197424,1019.7030594300383
33,2018-06-11T00:00:00Z,829103610470.4984,0.007980793132367282,1027.8410986037914
34,2018-06-12T00:00:00Z,829764657495.3171,0.0008068592152696956,1028.6704216660328
35,2018-06-13T00:00:00Z,819656805022.6025,0.0006823938487949133,1029.372380034215
36,2018-06-14T00:00:00Z,827699050370.8693,0.010079623439808755,1039.7480660042997
37,2018-06-15T00:00:00Z,825040620402.9082,-0.003051576412687894,1036.5751953309432
38,2018-06-18T00:00:00Z,814191098741.7882,-0.013010961063698756,1023.0883558248963
39,2018-06-19T00:00:00Z,807590911788.827,-0.00801481165094174,1014.8884953506881
40,2018-06-20T00:00:00Z,810139826428.9736,0.0032940188451973398,1018.2315571801472
41,2018-06-21T00:00:00Z,801982479883.2794,-0.010040344518066787,1008.0081615468908
42,2018-06-22T00:00:00Z,745800064320.4797,0.008867911225922481,1016.947088438494
43,2018-06-25T00:00:00Z,792822785124.5464,-0.019344084186641818,997.2751783463796
44,2018-06-26T00:00:00Z,792601348437.0428,-4.81872546695737e-05,997.2271223933849
45,2018-06-27T00:00:00Z,795583104078.5791,0.0038290249154449758,1001.0455298913865
46,2018-06-28T00:00:00Z,789449042768.3948,-0.007683860965000893,993.3536352200655
47,2018-06-29T00:00:00Z,799084189014.8829,0.012365704039280436,1005.6371522795401
48,2018-07-02T00:00:00Z,791146247479.1167,-0.009820202307857765,995.7615919958571
49,2018-07-03T00:00:00Z,797511027298.2615,0.008227673037173141,1003.954392797774
50,2018-07-04T00:00:00Z,773116666281.3215,0.0024254342545840047,1006.3894181721057
51,2018-07-05T00:00:00Z,801262057745.3947,0.002346558835210654,1008.75097015298
52,2018-07-06T00:00:00Z,803366535323.5931,0.0027190806223092424,1011.4938453686585
53,2018-07-09T00:00:00Z,807631301343.5518,0.005243248641098356,1016.797359098867
54,2018-07-10T00:00:00Z,810952882347.7943,0.004083866430920434,1020.9498237007393
55,2018-07-11T00:00:00Z,803921980994.9883,-0.008611318828041108,1012.1580992614199
56,2018-07-12T00:00:00Z,811878758087.2429,0.009989733737287308,1022.2692891730804
57,2018-07-13T00:00:00Z,814473324782.0109,0.003672778808195716,1026.0238581546246
58,2018-07-16T00:00:00Z,813355795753.6143,-0.001374435111271844,1024.6136549389742
59,2018-07-17T00:00:00Z,815567608942.1718,0.0027346945565962276,1027.41566032375
60,2018-07-18T00:00:00Z,823664361474.7926,0.01021299525145584,1037.9086515839078
61,2018-07-19T00:00:00Z,821786580653.5065,-0.0022348440747083074,1035.589087583827
62,2018-07-20T00:00:00Z,822979137082.4203,0.0018730503618086369,1037.528798099011
63,2018-07-23T00:00:00Z,820146404944.0968,-0.003505060939351422,1033.892196435342
