,ISIN,Tickers_YF,sector_T,Name,Ticker,Market,Currency,RICS,sector,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score,totalEsg,environmentScore,socialScore,governanceScore,TRBC Industry Group Name,TRBC Economic Sector Name
340,DE0006095003,0NBT.IL,Independent Power Producers,CAPITAL STAGE AG,0NBT,,,ECVG.DE,Independent Power Producers,42.3387885729357,45.5249718204799,50.8393945451656,45.4994496214451,,,,,Electric Utilities & IPPs,Utilities
341,SE0015811963,0NC6.IL,Investment Holding Companies,INVESTOR AB,0NC6,,,INVEb.ST,Investment Holding Companies,45.7996323529411,68.2752168244178,76.8205957641904,62.6648248863078,8.24,0.22,1.62,6.4,Investment Holding Companies,Financials
342,AT0000644505,0NCV.IL,Specialty Chemicals,LENZING AG,0NCV,,,LENV.VI,Specialty Chemicals,49.6987023342817,63.0981379743024,44.7301587301587,53.6744059724687,,,,,Chemicals,Basic Materials
343,GRS245213004,0NCY.IL,"Real Estate Rental, Development & Operations",LAMDA DEVELOPMENT SA,0NCY,,,LMDr.AT,"Real Estate Rental, Development & Operations",30.7526471629991,60.6802929044059,50.8387096774193,48.0373665640755,,,,,Real Estate Operations,Real Estate
344,DE0006450000,0ND2.IL,Renewable Energy Equipment & Services,LPKF LASER & ELECTRONICS AG,0ND2,,,LPKG.DE,Renewable Energy Equipment & Services,33.0365035358405,51.9792050055208,66.5777347213892,49.6372054771904,,,,,Renewable Energy,Energy
345,DK0061804770,0ND5.IL,Pharmaceuticals,H LUNDBECK A/S,0ND5,,,HLUNb.CO,Pharmaceuticals,58.0345576010992,62.0884036978666,54.214587100663,58.7279997869028,19.66,0.29,12.27,7.1,Pharmaceuticals,Healthcare
347,DE000A0DJ6J9,0NIF.IL,Semiconductors,SMA SOLAR TECHNOLOGY AG,0NIF,,,S92G.DE,Semiconductors,83.6890691420654,50.5946228445445,67.613805622789,65.3303418926664,,,,,Semiconductors & Semiconductor Equipment,Technology
348,DE0007165631,0NIR.IL,Advanced Medical Equipment & Technology,SARTORIUS AG,0NIR,,,SATG_p.DE,Advanced Medical Equipment & Technology,59.9607522611786,90.4092550351294,84.8556329545396,83.3088035231173,,,,,Healthcare Equipment & Supplies,Healthcare
349,AT0000720008,0NKL.IL,Integrated Telecommunications Services,TELEKOM AUSTRIA AG,0NKL,,,TELA.VI,Integrated Telecommunications Services,57.7981198142785,70.840095229121,40.0793650793651,60.0349051934739,,,,,Telecommunications Services,Technology
350,SE0000114837,0NL3.IL,Industrial Machinery & Equipment,TRELLEBORG AB,0NL3,,,TRELb.ST,Industrial Machinery & Equipment,60.0121927563415,72.8915234659475,58.6211699164345,64.4253856934993,29.46,8.5,14.18,6.78,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
351,DK0061539921,0NMK.IL,Renewable Energy Equipment & Services,VESTAS WIND SYSTEMS A/S,0NMK,,,VWS.CO,Renewable Energy Equipment & Services,79.3945594607607,74.47102153952,65.4020494273658,73.2816025163104,18.71,3.31,9.0,6.41,Renewable Energy,Energy
352,SE0000695876,0NNF.IL,Industrial Machinery & Equipment,ALFA LAVAL AB,0NNF,,,ALFA.ST,Industrial Machinery & Equipment,85.2533379465502,69.8001388313322,80.7198686234565,78.1916615709991,26.66,7.12,12.65,6.89,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrials
353,SE0000825820,0NNR.IL,Independent Power Producers,ORRON ENERGY AB,0NNR,,,ORRON.ST,Independent Power Producers,21.1783098149242,53.8129505995148,94.4474008786152,50.101840835839,33.38,17.29,8.19,7.89,Electric Utilities & IPPs,Utilities
354,DE0005103006,0NOL.IL,Communications & Networking,ADVA OPTICAL NETWORKING SE,0NOL,,,ADAG.DE,Communications & Networking,65.5693888941515,82.5998999660599,80.9433962264151,78.1753721346018,,,,,Communications & Networking,Technology
355,DE000A0WMPJ6,0NP9.IL,Semiconductor Equipment & Testing,AIXTRON SE,0NP9,,,AIXGn.DE,Semiconductor Equipment & Testing,71.0234639698926,71.5308647272646,86.5541049653242,75.2748541634238,,,,,Semiconductors & Semiconductor Equipment,Technology
356,ES0116870314,0NPV.IL,Natural Gas Utilities,GAS NATURAL SDG SA,0NPV,,,NTGY.MC,Natural Gas Utilities,90.1921560898699,93.1345420513142,38.3284977433913,78.2546771304755,18.87,7.82,5.62,5.42,Natural Gas Utilities,Utilities
357,ES0124244E34,0NQ2.IL,Multiline Insurance & Brokers,MAPFRE SA,0NQ2,,,MAP.MC,Multiline Insurance & Brokers,67.4496635213225,89.773570115185,68.4364281490242,78.2621924495391,20.83,1.76,8.35,10.73,Insurance,Financials
358,DK0060252690,0NQC.Z,Apparel & Accessories,PANDORA A/S,0NQC,,,PNDORA.CO,Apparel & Accessories,40.9201252509382,85.4376751333272,85.0934297769741,77.2447487366193,,,,,Textiles & Apparel,Consumer Cyclicals
359,DE0007042301,0NQH.IL,Healthcare Facilities & Services,RHOEN KLINIKUM AG,0NQH,,,RHKG.DE,Healthcare Facilities & Services,38.2440357190457,50.8244921457356,50.8002337346803,48.4857933959578,,,,,Healthcare Providers & Services,Healthcare
360,AT0000746409,0NR1.IL,Electric Utilities,VERBUND AG,0NR1,,,VERB.VI,Electric Utilities,90.1288661806975,80.9131430098348,61.5873015873015,79.9983650018181,17.83,5.73,6.8,5.3,Electric Utilities & IPPs,Utilities
361,DE000WCH8881,0NR4.IL,Specialty Chemicals,WACKER CHEMIE AG,0NR4,,,WCHG.DE,Specialty Chemicals,82.251456926894,80.7123957787892,59.1178706634394,76.4812711515592,26.02,10.79,5.75,9.49,Chemicals,Basic Materials
362,DE0005909006,0NRG.IL,Construction & Engineering,BILFINGER SE,0NRG,,,GBFG.DE,Construction & Engineering,37.0100845389301,76.8879708639705,79.9954893307294,62.9322737611858,,,,,Construction & Engineering,Industrials
363,ES0116920333,0NRN.IL,Multiline Insurance & Brokers,GRUPO CATALANA OCCIDENTE SA,0NRN,,,GCO.MC,Multiline Insurance & Brokers,32.8423268232023,72.5822521164136,46.4163217031342,56.8172232453404,,,,,Insurance,Financials
364,DE000A0LD6E6,0NTI.IL,"Medical Equipment, Supplies & Distribution",GERRESHEIMER AG,0NTI,,,GXIG.DE,"Medical Equipment, Supplies & Distribution",61.9588785586209,77.3139656026538,71.8541926158293,72.777864905394,,,,,Healthcare Equipment & Supplies,Healthcare
365,AT0000APOST4,0NTM.IL,"Courier, Postal, Air Freight & Land-based Logistics",OESTERREICHISCHE POST AG,0NTM,,,POST.VI,"Courier, Postal, Air Freight & Land-based Logistics",79.3474624824425,81.2998611107426,81.3492063492063,80.6445659348865,,,,,Freight & Logistics Services,Industrials
366,SE0012454072,0NUK.IL,Investment Banking & Brokerage Services,AVANZA BANK HOLDING AB,0NUK,,,AVANZ.ST,Investment Banking & Brokerage Services,17.8385705825745,64.2648345712994,57.3737088416016,54.556490305142,,,,,Investment Banking & Investment Services,Financials
367,FI0009005987,0NV5.IL,Paper Products,UPM-KYMMENE OYJ,0NV5,,,UPM.HE,Paper Products,89.0844000671101,93.560483487199,85.7918751839858,89.6549234548673,14.68,8.07,2.93,3.69,Paper & Forest Products,Basic Materials
368,DK0010274414,0NVC.IL,Banks,DANSKE BANK A/S,0NVC,,,DANSKE.CO,Banks,85.4758150832467,67.4392203770875,81.1790235081374,74.9828191419524,24.28,0.59,11.16,12.53,Banking Services,Financials
369,DE0007231326,0NW7.IL,"Passenger Transportation, Ground & Sea",SIXT SE,0NW7,,,SIXG.DE,"Passenger Transportation, Ground & Sea",30.1992789142321,45.8744356696166,50.1926260808947,42.2563847154392,,,,,Passenger Transportation Services,Industrials
