Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;9.28;9.30;9.025;9.07;"05/04/2023 13:05";CET;560275;5111142.92;-;-
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;40.94;40.94;39.66;40.04;"05/04/2023 13:05";CET;510478;20438707.98;-;-
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;6.76;6.76;6.56;6.70;"05/04/2023 12:18";CET;7801;51290.68;-;-
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;54.60;55.00;54.60;55.00;"05/04/2023 13:05";CET;41;2246.60;-;-
AKWEL;FR0000053027;AKW;"Euronext Paris";EUR;13.00;13.36;12.80;13.12;"06/04/2023 17:35";CET;26063;340331.58;-;-
"AKZO NOBEL";NL0013267909;AKZA;"Euronext Amsterdam";EUR;72.26;73.12;72.10;72.78;"06/04/2023 17:36";CET;347504;25272654.88;-;-
ALA;IT0005446700;ALA;"Euronext Growth Milan";EUR;12.50;12.70;12.50;12.50;"06/04/2023 17:19";CET;6184;77520.00;-;-
"ALAN ALLMAN";FR0000062465;AAA;"Euronext Paris";EUR;9.94;9.94;9.94;9.94;"06/04/2023 16:18";CET;1006;9999.64;-;-
ALCHIMIE;FR0014000JX7;ALCHI;"Euronext Growth Paris";EUR;2.09;2.09;2.04;2.08;"06/04/2023 12:33";CET;511;1059.07;-;-
ALD;FR0013258662;ALD;"Euronext Paris";EUR;10.50;10.70;10.50;10.64;"06/04/2023 17:35";CET;225268;2393716.44;-;-
"ALEPH FINANCE";GB00BJ9M4V82;MLALE;"Euronext Access Paris";EUR;2.90;2.90;2.90;2.90;"07/03/2023 16:30";CET;14350;41615.00;-;-
ALERION;IT0004720733;ARN;"Euronext Milan";EUR;29.40;29.65;29.25;29.25;"06/04/2023 17:35";CET;4410;129896.35;-;-
ALFEN;NL0012817175;ALFEN;"Euronext Amsterdam";EUR;73.42;74.30;72.42;72.54;"06/04/2023 17:35";CET;53649;3916797.18;-;-
"ALFIO BARDOLLA";IT0005244030;ABTG;"Euronext Growth Milan";EUR;2.23;2.23;2.22;2.22;"06/04/2023 17:00";CET;1050;2334.50;-;-
ALFONSINO;IT0005466039;ALFO;"Euronext Growth Milan";EUR;0.79;0.79;0.73;0.742;"06/04/2023 17:24";CET;191000;143626.00;-;-
ALGOWATT;IT0004359037;ALW;"Euronext Milan";EUR;0.629;0.629;0.60;0.613;"06/04/2023 17:35";CET;171143;104381.04;-;-
ALGREEN;FR001400GZ72;ALGRE;"Euronext Growth Paris";EUR;0.001;0.001;0.0008;0.0009;"06/04/2023 17:10";CET;18264542;16101.81;-;-
ALIAXIS;BE0941243520;-;"Euronext Expert Market";EUR;33.00;33.00;33.00;33.00;"04/04/2023 11:30";CET;5027;165891.00;-;-
ALKEMY;IT0005314635;ALK;"Euronext Milan";EUR;13.04;13.04;12.50;12.54;"06/04/2023 17:35";CET;2867;36541.80;-;-
ALLCORE;IT0005461303;CORE;"Euronext Growth Milan";EUR;2.50;2.50;2.46;2.49;"06/04/2023 15:47";CET;2652;6566.08;-;-
"ALLFUNDS GROUP";GB00BNTJ3546;ALLFG;"Euronext Amsterdam";EUR;5.62;5.765;5.62;5.74;"06/04/2023 17:35";CET;377370;2162861.41;-;-
ALLIANZ;DE0008404005;2ALV;"Euronext After Hours Milan";EUR;214.35;214.35;214.35;214.35;"07/03/2023 00:00";CET;4;857.40;-;-
ALLIANZ;DE0008404005;1ALV;BITGEM;EUR;214.10;216.80;213.65;216.15;"06/04/2023 17:13";CET;912;196796.65;-;-
ALMAWAVE;IT0005434615;AIW;"Euronext Growth Milan";EUR;4.46;4.53;4.45;4.45;"06/04/2023 17:35";CET;922;4105.08;-;-
"ALME INVEST";BE0146350740;-;"Euronext Expert Market";EUR;89.91;89.91;89.91;89.91;"11/05/2021 11:30";CET;975;87662.25;-;-
"ALMUNDA PRO NV";NL0010696704;AMUND;"Euronext Amsterdam";EUR;1.26;1.26;1.26;1.26;"06/04/2023 09:15";CET;1215;1530.90;-;-
"ALPES (COMPAGNIE)";FR0000053324;CDA;"Euronext Paris";EUR;12.56;12.62;12.38;12.40;"06/04/2023 17:35";CET;37696;470899.20;-;-
"ALPHA MOS";FR0013421286;ALNEO;"Euronext Growth Paris";EUR;1.91;2.036;1.83;2.036;"06/04/2023 14:19";CET;5659;10772.63;-;-
"ALPHABET CLASSE A";US02079K3059;2GOOG;"Euronext After Hours Milan";EUR;93.40;93.40;93.40;93.40;"30/03/2023 18:29";CET;10;934.00;-;-
"ALPHABET CLASSE A";US02079K3059;1GOOGL;BITGEM;EUR;95.26;97.47;95.08;97.47;"06/04/2023 17:35";CET;3011;290139.44;-;-
"ALPHABET CLASSE C";US02079K1079;2GOOG;"Euronext After Hours Milan";EUR;92.04;92.04;92.00;92.00;"30/03/2023 18:33";CET;90;8281.75;-;-
"ALPHABET CLASSE C";US02079K1079;1GOOG;BITGEM;EUR;95.77;97.40;95.77;97.37;"06/04/2023 16:42";CET;787;76288.88;-;-
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;23.32;23.54;23.13;23.49;"06/04/2023 17:35";CET;1479639;34590303.55;-;-
ALTAMIR;FR0000053837;LTA;"Euronext Paris";EUR;27.60;28.00;27.40;28.00;"06/04/2023 17:35";CET;192;5350.00;-;-
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;113.00;115.60;112.60;115.00;"06/04/2023 17:35";CET;2989;341504.20;-;-
ALTAREIT;FR0000039216;AREIT;"Euronext Paris";EUR;590.00;590.00;590.00;590.00;"06/04/2023 09:00";CET;1;590.00;-;-
