,ISIN,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score
0,SE0015949748,-0.6045382778223054,-0.6565240954413861,-0.2759395153391746,-0.5302194666455793
1,DK0010181759,-0.05284647217539404,0.1023503626394811,0.1520745429586398,0.06673294946868435
2,FI0009005961,0.45530564338194823,0.3818627856978286,0.47827142503851017,0.4367764882870908
3,PLPEKAO00016,0.2937662008538311,0.17171099772364046,0.014770297681036186,0.13348028934978992
4,PLBZ00000044,0.03138717113112501,0.18424636327707877,0.3648588692272737,0.22656781290935005
5,ES0130960018,0.6022955189683235,0.5559285579212591,0.38088026376554895,0.5229800228953271
6,DE0006070006,0.314327296605377,0.3069820602552022,0.5069706834538137,0.356880138535306
7,FI0009005318,0.0906782083934551,0.015234485478914732,-0.08094106948635177,0.016291318727286588
8,PLPKO0000016,-0.05540083477026434,0.09511203526137645,-0.20224709881330027,-0.028941183805510598
9,DE0007010803,-0.35268242159093727,-0.2744586762875016,-0.14380152538314342,-0.2686600083427527
10,DE000SYM9999,0.04429729213190647,0.1990461893387399,0.3781104048863723,0.1811532805523257
11,DE0007297004,0.08305394791583504,0.1614203395600108,0.07255882708085072,0.11739429035568588
12,DE0005089031,-0.43085253270707957,-0.36021454496871236,0.03712116679260916,-0.2628684832706616
13,SE0001174970,-0.2503631515986167,0.2671288578905736,0.4187535738969324,0.21373797744986975
14,SE0000108847,-0.7437920287397337,-0.6835247485863805,-0.11996910978846614,-0.6011127710973805
15,ES0113860A34,0.5272315134446809,0.3559705571540051,0.31214009302271417,0.3638395987749688
16,SE0000190126,-0.4108165504477343,-0.2606513074203497,-0.1519024432840871,-0.25770406887769265
17,SE0000242455,0.5150476154572549,0.0636939805023798,-0.017895580221315776,0.09626372767391658
18,SE0000667925,0.23963555743357687,0.30163306045915755,0.4011589915498128,0.31783943262693826
19,DE0005470405,0.1450999481277334,0.23815466264127727,0.4768712446861646,0.25616950909856334
20,ES0113679I37,0.520056107591813,0.16407739849746847,0.14936885335959663,0.2070769044448837
21,ES0167050915,0.21610978909073797,0.3096301246146648,-0.5162263746054024,0.07994169777462266
22,FI0009003305,-0.3368664985030377,-0.1332859433860104,0.03302461809749258,-0.09011584940128697
23,FI0009007132,0.30564838728532434,-0.19874040267146267,0.3300050749946547,0.1408401140929204
24,SE0000106270,0.4070085296363511,0.2648429676026106,-0.027117716432245705,0.1847437479268984
25,SE0000113250,-0.12024140635923616,0.10199539786346001,0.3591017175131023,0.07949225253767865
26,SE0000148884,0.47111470382428317,0.11257754269774174,0.2385134241330612,0.2049724908571153
27,SE0000667891,0.34585006054516754,0.20391064929819738,0.21169235749646395,0.2505317749104463
28,SE0000115446,0.6823151643307839,0.44386197262517385,0.3825844187567555,0.5006838691707564
29,FI0009007884,0.2551889076180909,-0.15523657388462742,0.10104887801364427,-0.008285574813596774
30,SE0000163594,-0.33583593144233065,0.044779363476908404,0.1678782516397873,0.009340770258358774
31,FI0009013403,0.2703558892804237,0.2759170927117562,-0.2530541452315499,0.12121603871077073
32,CZ0008019106,-0.2544220946877009,-0.039441898736423925,0.31340614708211395,0.054547544839557864
33,FI0009003727,0.699130732804495,0.2795381889798883,-0.04214788036911824,0.31768272744956577
34,ES0140609019,0.30609651025660034,0.26434360577238364,0.3517209409850073,0.30046140381929315
35,DE000PAH0038,-1.0,-0.9548050989595012,-0.12008971273124033,-0.7688037031645781
36,DK0060079531,0.32412854105468447,0.20735720241052716,0.3648901219207364,0.2884505797343182
37,DE000A3E5D64,-0.3226236883377577,-0.09143048189153463,0.10266716760065904,-0.1342846566896479
38,FI0009014377,0.2093271621262856,0.21149133482551385,-0.19309499726499732,0.09556003253683162
39,HU0000061726,0.2632140302891572,0.019665011034093217,0.2746499001190352,0.1415189633709849
40,DE0008402215,0.2310059613306565,0.07217116371137432,0.06888763278951558,0.09087775863857489
41,SE0000112724,0.29685445491547646,0.3660165732477636,0.5488778719276355,0.3685825810578975
42,SE0016589188,0.13053323592380925,0.12424584610095529,0.3106958437577882,0.17239396825847794
43,DE0005772206,-0.3195230906829922,0.009736329261337754,-0.22510600394024424,-0.1405157724648984
44,DK0010272202,0.21540381920603616,0.29153189843089333,0.2996922253209527,0.2798775232613703
45,AT0000652011,0.27315451372686117,0.1115985288273179,0.18483383572840809,0.15898195041820645
46,AT0000730007,0.43521745525415195,0.2119977547584425,0.11349357123358497,0.2532927710187599
47,AT0000937503,0.04511608011271817,-0.015511283214513876,-0.28811330546621233,-0.0616541282596326
48,PLPGER000010,-0.16715093901473302,-0.3606212211210176,-0.31315278315876194,-0.26735965467669615
49,LU0061462528,-0.14847577029775988,0.037031803534856654,-0.3856181110495274,-0.1320419989899413
50,DE0006602006,0.2192393710183176,0.17000589047258763,0.007117971871780208,0.13829420020200672
51,DE0007257503,0.2062397320889119,0.1962081811732724,0.32313295890811083,0.2449275455594378
52,DE000A1DAHH0,-0.2204546866620942,-0.02490797975121999,0.39660555718563706,-0.0046463989715298205
53,DK0060227585,0.40208650286796516,0.2103619976155,0.5400518601666007,0.34591018510176935
54,PLPZU0000011,-0.023855858775295075,0.15418372859057267,0.09323300715313713,0.10644347914002399
55,ES0130670112,0.26341920057156065,0.3456355601081094,0.5161558514289615,0.3514135733959907
56,SE0015811963,0.26335088821332037,0.09960838334493735,0.3443609002617123,0.24658153577774064
57,DK0061804770,-0.08706576022034397,-0.16038434356278142,-0.13612937301572223,-0.13791777168915054
58,SE0000114837,0.07638405695240977,0.12131853950639486,-0.05279727330901487,0.056922756614575756
