,Date,tot_rent,tot_rent_adj,.FT4GDGLOB100,.STOXX50E,.FTSE,.STOXX50,.SXWESGP,.MIWO00000PUS,.NDX
0,2018-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-04-23,0.0016207163890075,0.0017436696553828368,-3.975547325818507e-05,0.005397515883464,0.0041665705324387,0.0044720366180881,0.0024506642589965,-0.0011953917884681,-0.0028417377913483
2,2018-04-24,-0.0056232749545769,-0.005689410251445551,-0.0080339831063103,-0.0006205416360665,0.0035856826785711,0.0021507699560026,-0.0010293360782295,-0.0074861006475237,-0.0210194225938112
3,2018-04-25,-0.0090980541152023,-0.009908913316397778,-0.0016062449323126,-0.0071349633140409,-0.0062057262908394,-0.0069415181181788,-0.0047655847501288,-0.002296398785503,0.0007515690848232
4,2018-04-26,0.0091262980467037,0.009058823923643327,0.0056401657618931,0.0057948895958781,0.00570648786067,0.0089965921501031,0.0099650575902681,0.0075599256527059,0.0208342384433632
5,2018-04-27,0.0021931811296312,0.001897319962655462,0.0021571279645156,0.0036365918146736,0.0108846947286438,0.0032209793994242,0.0019220912352637,0.001725258549827,0.0010074208372343
6,2018-04-30,0.0033231791977891,0.003192768024382736,-0.0047400625676004,0.0050415200722977,0.0009450548571687,0.0033763693143598,-0.0001278935925308,-0.0045514181436511,-0.0076292528355993
7,2018-05-01,0.003998517295868,0.005301189132676247,0.0022997352379781,-7.351860020576861e-05,0.0014728403446393,-0.0009133129943063,0.0007674597083651,-0.0013131976362443,0.0115646340891097
8,2018-05-02,0.0049449161936384,0.005215530468649997,-0.0042648671394829,0.0049572146844405,0.0030370886500115,0.0037992245951166,0.0036426380368099,-0.0033976878446276,-0.0056095807802529
9,2018-05-03,-0.0040784671317335,-0.003834588795731011,-0.0021994055743979,-0.0069418845795615,-0.0053703998303107,-0.0078248120495001,-0.003183699458771,-0.002561768968888,-0.0001503504112737
10,2018-05-04,0.0053936742176018,0.0053040496222141135,0.0117044939877668,0.0060836695833523,0.0085902522961764,0.0080264815303043,0.0044075375279464,0.0087236949458571,0.0189113264300224
11,2018-05-07,0.0097331606529697,0.009705813032665593,0.0044048690380333,0.0038303493222253,0.0,0.0052018249978205,0.0064233019587891,0.0035511907496745,0.0077939275970451
12,2018-05-08,0.005808330660642,0.006058337520435809,-0.0019227668371397,-0.00177038822285,-0.0001836889498543,-0.0011146445665092,0.0034123222748814,-0.0008536573734059,-0.0009368393494221
13,2018-05-09,0.0020140014928142,0.002437651440455912,0.0094464139291168,0.0033334457598344,0.0127905362984503,0.0097600036017146,0.0042823855406513,0.0070498837747665,0.0114050610939826
14,2018-05-10,0.0017006761456494,0.0020965694973247026,0.0083267906752024,-8.403973398518616e-06,0.0050179314376992,-0.0019809043369702,6.27077193202652e-05,0.0064886436886208,0.0102033681240709
15,2018-05-11,0.0006676531466896,0.000830132376179487,0.0041731864906751,-0.0011737648156292,0.0030619519359249,-0.0004148371285612,-0.0001254075746174,0.0039698049945138,-0.0015775004351229
16,2018-05-14,0.0022944567471361,0.0016222462482123406,0.0026885488397339,6.170207992095555e-05,-0.0017567366383802,0.00127056690269,-0.0007525398218989,0.0019371845625621,0.0016986541509942
17,2018-05-15,0.0026499081913266,0.002852283576543596,-0.0084262185373833,-0.0004066477084699,0.0015562224256839,0.0007046205251814,-0.0014434542487761,-0.00754181705827,-0.010889278905653
18,2018-05-16,0.0006426581167816,0.0011485545840905602,0.0021806979733307,-0.0004040075302514,0.0014528070770609,0.0037755085785289,0.0025768336371063,0.0014103906640627,0.0060141951787724
19,2018-05-17,0.0043932472507825,0.0046413593850112645,-0.0012151813867733,0.0082321736811821,0.0069522381112461,0.0055324551658466,0.0045135406218654,0.0012199889777058,-0.0040883323364548
20,2018-05-18,-0.0023017263907401,-0.0022643224754584365,-0.003751867318149,-0.0051278053995066,-0.0011787410583246,-0.003282900821672,-0.0018721917124314,-0.0022394098496395,-0.005126178108862
21,2018-05-21,0.0020011587918397,0.002005921261414786,0.0050729661887478,-0.0003329826289398,0.0103332266329339,0.0020300678061648,0.0036263598849568,0.0046774801961522,0.0057204408692135
22,2018-05-22,0.0027057823388426,0.0026855040795177964,0.000284316219492,0.004109086735879,0.0023259453606423,0.0024905655606617,0.0019312235235484,-0.0009104903506793,-0.0017249938165517
23,2018-05-23,-0.0072891836058724,-0.007576103015964126,-0.0022678993507465,-0.0126642971635653,-0.0112993417920773,-0.0112206871764476,-0.0071504072623267,-0.0027621454542038,0.0087052956211686
24,2018-05-24,-0.0013875691081455,-0.0009648848558957684,-0.0036045005277803,-0.0056637547927336,-0.0092059513843593,-0.0062017135222862,-0.0040080160320642,-0.0024353478731923,-0.0005654599733578
25,2018-05-25,0.0026738056422297,0.0029162520271759284,-0.0027357269690311,-0.001817273181591,0.001754626953869,0.0001122953817722,0.0007545271629778,-0.0032723718321031,0.001614458410357
26,2018-05-28,0.0002387660533446,0.0003872538748023466,-0.001688490800064,-0.0093077238177597,0.0,-0.0037566607744945,-0.0022618748429252,-0.0017339397384878,0.0
27,2018-05-29,-0.0108115914547543,-0.01099517392827451,-0.0131256962256821,-0.0156490478487584,-0.0126308490766181,-0.0120112577364737,-0.0105163727959698,-0.0113281509534249,-0.0049382847293583
28,2018-05-30,-0.0045180076566837,-0.004745538992454525,0.00842217794244,0.0038067290134009,0.0074587560791548,0.002776944839185,0.0018456055495448,0.0082322502604079,0.0071930532744757
