ISIN,totalEsg,environmentScore,socialScore,governanceScore
SE0015949748,-0.3303070933557341,-0.46481915812862584,-0.1374722838137472,-0.38416036805783754
DK0010181759,-0.16810493614083533,-0.27622377622377625,-0.19754210286754662,-0.035362935389524064
FI0009005961,0.015364238410595952,-0.8017289459007252,0.4497816593886463,0.35479603087100337
PLPEKAO00016,-0.15399695055543455,0.1071171818835371,-0.4321519075224774,-0.5277013752455798
PLBZ00000044,0.15225441080374635,0.5815959741193386,-0.13222480647064963,-0.112770137524558
ES0130960018,0.25467433737415246,0.08239700374531833,0.45054945054945045,0.11591355599214134
DE0006070006,-0.06824399950254945,-0.3120873197682254,-0.1611870817573466,0.20794071905589614
FI0009005318,0.3301726451382056,0.10925009516558806,0.5531914893617021,0.07236842105263178
PLPKO0000016,0.08298845567414496,0.08986340762041703,-0.15971812406706704,-0.13752455795677815
DE0007010803,-0.3412465546367921,-1.4250989259468625,-0.6835699797160243,-0.4474599860821155
DE000SYM9999,0.15604882438450354,0.22395079594790152,-0.13317191283292965,-0.23321684752620947
DE0007297004,-0.7040562120728199,-0.9702531095068281,-0.7843499691928527,-0.30069930069930084
DE0005089031,-0.21686004147749563,-0.39442231075697204,-0.07065085894023707,-0.3077891707141571
SE0001174970,-0.21573902808138556,-0.23754980079681268,-0.5460924268086135,0.29123943155243753
SE0000108847,0.11673289183222955,0.9726715002788623,0.1877729257641921,-0.6099228224917309
ES0113860A34,0.18013504683075576,0.7455068296189792,-0.008504877286770686,-0.1976424361493125
SE0000190126,0.156934306569343,0.9741219963031423,0.43129657228017876,-0.36162361623616235
SE0000242455,-0.08385972554998915,0.710999281092739,-0.2084562779879891,-0.7139489194499018
SE0000667925,-0.07505184686957,0.03884462151394426,-0.11783208323251877,-0.09372189242669543
DE0005470405,-0.13592837859664514,-0.4576700434153401,0.03125687871450596,-0.49310281405186696
ES0113679I37,0.00762361141363525,0.23652048885693747,-0.24469746936508507,-0.3025540275049118
ES0167050915,-0.24406168387016547,-0.24376768629564746,-0.24818155368053543,-0.24755283139694437
FI0009003305,0.2127727599712253,-0.21234939759036142,0.490395579335146,0.0010576844845823221
FI0009007132,0.10883560602220303,-0.10870866875124732,0.15788714100158738,0.3525792711784194
SE0000106270,0.1370811409581833,0.495026778882938,0.002877517828099659,0.1543624161073826
SE0000113250,-0.10785350080835719,0.14337690338229353,-0.26141984288623815,-0.09175738724727824
SE0000148884,-0.04552385101285131,0.4780733285406183,-0.1972090116985456,-0.5559921414538311
SE0000667891,-0.012341889730707843,-0.1648561905937538,-0.05696154140224792,0.11715412421952026
SE0000115446,0.004232428153724366,0.1401061597333663,0.09270586436271894,-0.31465658889254033
FI0009007884,0.00397959755619088,0.19073705179282868,-0.07669973384950403,-0.009174311926605533
SE0000163594,0.3773450317426349,0.6609898882384246,0.2828828828828828,0.340759493670886
FI0009013403,0.2345282134953071,0.3384150104925318,0.3249483905497362,-0.04107788366743344
CZ0008019106,-0.05554345458505782,0.4910136592379583,-0.35717013225952027,-0.43693516699410617
FI0009003727,0.08274235497471838,0.18676706579434646,0.02664576802507838,0.006243838317449941
ES0140609019,0.22587671531256803,0.685118619698059,0.1689519908355607,-0.22475442043222021
DE000PAH0038,-0.15877985508542797,-0.420631899505139,-0.13677811550151966,-0.29934210526315774
DK0060079531,0.2847345694691389,0.2771503040834057,0.24968632371392716,0.33277027027027023
DE000A3E5D64,-0.005514663467085124,-0.6476121562952244,0.29473915914593884,0.0928821041015264
FI0009014377,-0.009712965133804511,0.007633587786259395,-0.1399924566255973,0.1731863763664287
HU0000061726,0.24068830320191675,0.5729690869877786,-0.01850244732183162,0.02161100196463636
DE0008402215,0.033170809687474954,0.3042168674698794,0.1551618279098325,-0.1082906191522252
SE0000112724,-0.1385430463576161,-1.0867261572783045,0.259825327510917,0.328555678059537
SE0016589188,0.24513203520938914,-0.45845110231769354,0.03904665314401621,0.26235212247738343
DE0005772206,0.04070894489061199,-0.3733741392501913,0.10421618916551985,0.1167785234899329
DK0010272202,-0.05321531406633245,0.7550274223034735,-0.5346208195949127,0.04076086956521749
AT0000652011,0.3413199738619037,0.5255212077641984,0.4338875967646752,-0.11866404715127715
AT0000730007,-0.12181962101998292,-0.06653499567954572,-0.2685602874837525,-0.039599079855405867
AT0000937503,-0.03366897419760854,-0.009751683924801526,-0.11368104544928881,0.033972763215697685
PLPGER000010,-0.8636893597607341,-1.8511077107311555,-0.3822340886130757,-0.0903928064363463
LU0061462528,0.4327028443470388,1.0,1.0,1.0
DE0006602006,0.20137957772644297,-0.046537464510554225,0.13296123556846848,0.461715412421952
DE0007257503,-0.5491553586264193,-1.8385615914307576,-0.3249092956336794,-0.33557046979865757
DE000A1DAHH0,0.33131821223378477,0.41389290882778573,-0.08364516839093097,0.13260989516277347
DK0060227585,0.3163206643244971,0.24258502217969902,0.5465187923598275,0.05769230769230771
PLPZU0000011,-0.039565182639277344,-0.4864457831325301,0.10358740461363042,-0.12423724676592614
ES0130670112,0.3456937192680083,0.24356330250814984,0.4068408139702697,0.4093705631803124
SE0015811963,0.4693001288106483,0.9186691312384473,0.7102831594634873,0.11439114391143905
DK0061804770,0.14398633486284623,0.8691880638445524,-0.002703042494342591,0.16613966934682445
SE0000114837,-0.28494580230360417,-0.4164917911368966,-0.46364400948084716,-0.0026289845547157577
DK0061539921,0.07832512315270936,0.45107794361525705,0.0027700831024931143,-0.22095238095238098
SE0000695876,-0.1628192494709466,-0.18652018269349457,-0.30571909167367545,-0.01889582648701932
